log_timestamp,log_level,id,total,question,similar_question,expected_tag,predicted_tag,tag_match,expected_answer,predicted_answer,answer_match_text,answer_match,probability,time_taken_s
2026-01-27 12:00:32,INFO,1,8720,পোস্টাল ভোট দেওয়ার জন্য কোন ধরনের জাতীয় পরিচয়পত্র (NID) গ্রহণযোগ্য?,পোস্টাল ভোট দিতে হলে কোন ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9975170493125916,0.6113076210021973
2026-01-27 12:00:33,INFO,2,8720,ডাকযোগে ভোট দিতে কোন কোন ফরম্যাটের এনআইডি কার্ড বৈধ ধরা হয়?,ডাকের মাধ্যমে ভোটের জন্য কোন কোন জাতীয় পরিচয়পত্র কার্ড বৈধ ধরা হয়?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9884465336799622,0.688591480255127
2026-01-27 12:00:34,INFO,3,8720,পোস্টাল ব্যালটে ভোট দিতে কী কী ধরনের NID কার্ড চলে?,পোস্টাল ব্যালটে ভোট দেওয়ার ক্ষেত্রে NID কার্ডের কোন ধরনের গ্রহণযোগ্য?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.988274097442627,0.6230158805847168
2026-01-27 12:00:35,INFO,4,8720,ডাকের মাধ্যমে ভোটদানে কোন এনআইডি কার্ড দেখালে গ্রহণ করা হবে?,ডাকের মাধ্যমে ভোট দিতে কোন কোন এনআইডি কার্ড অনুমোদিত?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9906841516494751,0.6559851169586182
2026-01-27 12:00:36,INFO,5,8720,পোস্টাল ভোটের ক্ষেত্রে কোন ধরণের জাতীয় পরিচয়পত্র মেনে নেওয়া হয়?,পোস্টাল ভোটের ক্ষেত্রে কোন ধরণের জাতীয় পরিচয়পত্র দেখালে গ্রহণ করা হয়?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9962484836578369,0.6581804752349854
2026-01-27 12:00:36,INFO,6,8720,ডাক ভোট দেওয়ার সময় কোন ধরনের NID গ্রহণ করা হয়?,ডাকযোগে ভোটের সময় NID কার্ড হিসেবে কী গ্রহণ করা হয়?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9883057475090027,0.6254191398620605
2026-01-27 12:00:37,INFO,7,8720,পোস্টাল ব্যালট ব্যবহারের জন্য কোন NID কার্ডগুলো স্বীকৃত?,পোস্টাল ব্যালটে ভোট দেওয়ার ক্ষেত্রে NID কার্ডের কোন ধরনের গ্রহণযোগ্য?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9866119623184204,0.6423416137695312
2026-01-27 12:00:38,INFO,8,8720,ডাকযোগে ভোটের জন্য NID কার্ডের কোন সংস্করণ/প্রকার দরকার?,ডাকযোগে ভোটের জন্য কী ধরনের NID কার্ড লাগবে?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9888312816619873,0.6426205635070801
2026-01-27 12:00:39,INFO,9,8720,পোস্টাল ভোটে স্মার্ট কার্ড ও ল্যামিনেটেড NID—দুটোই কি গ্রহণযোগ্য?,পোস্টাল ভোটে NID হিসেবে স্মার্ট এবং ল্যামিনেটেড—দুইটাই কি গ্রহণযোগ্য?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9895867109298706,0.6692359447479248
2026-01-27 12:00:40,INFO,10,8720,ডাকের ভোটে কোন কোন রূপের জাতীয় পরিচয়পত্র বৈধ?,ডাকের ভোটে কোন কোন জাতীয় পরিচয়পত্র কার্ড বৈধ হিসেবে গৃহীত হয়?,accepted_nid_types,accepted_nid_types,True,"সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।","সকল ধরনের জাতীয় পরিচয়পত্র গ্রহণযোগ্য, যেমন- স্মার্ট কার্ড বা ল্যামিনেটেড NID কার্ড।",আপনাকে আর কোন তথ্য দিয়ে সহযোগিতা করতে পারি?,False,0.9898345470428467,0.627122163772583
