question,similar question,expected tag,predicted tag,time taken
কার্ড হারানোর পরে নতুন NID নিতে কি ফি লাগবে?,আগের কার্ড হারায় গেছে নতুন কার্ড পেতে কি ফি দিতে হবে?,card_lost_and_damaged_cost,card_lost_and_damaged_cost,1.4054594039916992
"নথিপত্র ক্লিয়ার, তবু কেন আবেদন গ্রহণ হলো না?",সব কাগজ ঠিকঠাক দিলোও আবেদন গ্রহণ করা হয়নি—কেন?,all_documents_correct_but_application_rejected_why,all_documents_correct_but_application_rejected_why,0.6255760192871094
NID-এ চাকরি পরিবর্তনের এন্ট্রি কেমন করে করব?,এনআইডিতে চাকরি পরিবর্তনের ব্যাপারটা কিভাবে করা যায়?,profession_change,profession_change,0.6281461715698242
আগের লগইন ডিটেইলস কি এখনো অ্যাকসেপ্ট হচ্ছে?,এনআইডির আগের লগইন ডিটেইলস দিয়ে কি এখনো ঢোকা যায়?,login_using_old_id_password,login_using_old_id_password,0.6547458171844482
এম্বাসিতে এনরোলমেন্টের পর কার্ড কবে হাতে ধরা যাবে?,"এম্বাসিতে কার্ডের আবেদন করেছি, কবে পাবো?",nrb_application_status,nrb_application_status,0.673377275466919
আমার কার্ডে স্বাক্ষর আপডেট করার জন্য কী কী লাগে?,"আমি আমার কার্ডে স্বাক্ষর আপডেট করতে চাই, কীভাবে করব?",signature_correction,signature_correction,0.6098067760467529
NID কপি ডাউনলোডে আপডেটেড ঠিকানা না এলে কী করতে হবে?,এনআইডি কপি ডাউনলোডে আপডেটেড নাম না এলে কোথায় যাব?,previous_information_in_downloaded_card_after_correction,previous_information_in_downloaded_card_after_correction,0.6907668113708496
NID ঠিকানা সংশোধনের আবেদন করেছি—এসএমএস পাওয়া গেছে; এপ্রুভ হতে কতদিন?,"ঠিকানা সংশোধনের আবেদন করেছি, এসএমএস রিসিভ করেছি—কবে এপ্রুভ হবে?",address_change_sms_to_mobile_how_many_days_to_get_approved,address_change_sms_to_mobile_how_many_days_to_get_approved,0.6575911045074463
"এম্বাসিতে বায়োমেট্রিক্স সম্পন্ন করেছি, এখন করণীয় কী?","আমি এম্বাসিতে বায়োমেট্রিক দিয়েছি, এরপর কোন পদক্ষেপ নেওয়া দরকার?",foreign_resident_action_after_biometrics_new,foreign_resident_action_after_biometrics_new,0.7082102298736572
প্রবাসীদের জন্য এনআইডি নিবন্ধনের প্রয়োজনীয় নথির তালিকা কী?,প্রবাসী এনআইডি বা ভোটার নিবন্ধনের ক্ষেত্রে কি কি ডকুমেন্টস প্রয়োজন?,foreign_resident_card_registration_required_documents,foreign_resident_card_registration_required_documents,0.6670379638671875
ক্যাটাগরি অ্যাসাইনমেন্টে দেরি হচ্ছে—কি করণীয়?,"ক্যাটাগরি আসতে দেরি হচ্ছে, কেন, এবং কী করবো?",correction_applied_but_no_category,correction_applied_but_no_category,0.6719896793365479
পরিচয়পত্র হারানো পর কোনো তথ্য না থাকলে কোথায় যেতে হবে?,জাতীয় পরিচয়পত্র হারানোর পর তথ্য না থাকলে কোথায় আবেদন করবো?,card_lost_no_info_how_to_get_new,card_lost_no_info_how_to_get_new,0.6483662128448486
NID পেতে কারা (কোন দেশের নাগরিকরা) dual citizenship কাগজ ছাড়া পারবেন?,NID পেতে কোন দেশের নাগরিক হলে dual citizenship কাগজপত্র ছাড়া হবে?,dual_citizenship_certificate_of_which_countires_not_required_for_nid,dual_citizenship_certificate_of_which_countires_not_required_for_nid,0.6654646396636963
দূতাবাসে দেয়া আবেদনটির অগ্রগতি রিপোর্ট চাই।,দূতাবাসে দাখিল করা প্রবাসী এনআইডি আবেদনের অগ্রগতি জানাবেন কি?,nrb_application_status,nrb_application_status,0.641057014465332
NID-এ জন্ম সনদের নম্বরটা আপডেট করা যাবে? কী কাগজ লাগবে?,NID রেকর্ডে জন্ম সনদের নম্বর আপডেটে কোন কাগজপত্র দরকার?,birth_certificate_number_correct_or_add_document_new,birth_certificate_number_correct_or_add_document_new,0.6783938407897949
উপজেলা ইসি অফিস কোনো পদক্ষেপ নিচ্ছে না; অভিযোগ কোথায় করব?,উপজেলা ইসি অফিসে কাজ না হলে অভিযোগ কোথায় দাখিল করবো?,new_voter_application_not_submitted_to_upazila_or_thana_office,how_to_complain_not_getting_help_from_election_office,0.6190543174743652
আবেদন গ্রহণ না হওয়ায় ফিস ফেরত পাওয়া যাবে কি?,আবেদন অনুমোদিত না হলে কি ফিস ফিরে পাওয়া যাবে?,card_correction_request_failed_query_regarding_refund_fees,card_correction_request_failed_query_regarding_refund_fees,0.6393179893493652
পিতার এনআইডি নম্বর আপডেটে কোন কোন কপি লাগবে?,পিতার এনআইডি নম্বর সংশোধনের জন্য কোন কপি আবশ্যক?,parent_spouse_name_correct_or_add_document_new,parent_spouse_name_correct_or_add_document_new,0.6723253726959229
NID সেবায় বারবার ভুল দিলে অ্যাকাউন্ট লক হয়েছে; এখন উপায় কী?,অ্যাকাউন্ট লক দেখাচ্ছে—NID সার্ভিসে এটা কিভাবে ঠিক হবে?,account_locked,account_locked,0.6952908039093018
